Date,Open,High,Low,Close,Adj Close,Volume
2021-05-18,3.260000,3.260000,3.200000,3.200000,3.200000,1100
2021-05-19,3.250000,3.270000,3.250000,3.270000,3.270000,3200
2021-05-20,3.340000,3.340000,3.300000,3.300000,3.300000,800
2021-05-21,3.250000,3.300000,3.230000,3.250000,3.250000,5200
2021-05-24,3.320000,3.320000,3.310000,3.310000,3.310000,2000
2021-05-25,3.300000,3.300000,3.180000,3.200000,3.200000,19500
2021-05-26,3.200000,3.240000,3.180000,3.180000,3.180000,7500
2021-05-27,3.290000,3.330000,3.230000,3.300000,3.300000,20400
2021-05-28,3.060000,3.250000,3.060000,3.200000,3.200000,69000
2021-06-01,3.330000,3.330000,3.270000,3.270000,3.270000,2500
2021-06-02,3.200000,3.230000,3.110000,3.110000,3.110000,12200
2021-06-03,3.190000,3.270000,3.130000,3.250000,3.250000,6300
2021-06-04,3.150000,3.220000,3.150000,3.200000,3.200000,3600
2021-06-07,3.150000,3.300000,3.150000,3.260000,3.260000,5100
2021-06-08,3.330000,3.370000,3.260000,3.320000,3.320000,4400
2021-06-09,3.490000,3.490000,3.270000,3.350000,3.350000,4200
2021-06-10,3.350000,3.350000,3.230000,3.340000,3.340000,16000
2021-06-11,3.370000,3.370000,3.360000,3.370000,3.370000,1800
2021-06-14,3.460000,3.460000,3.310000,3.370000,3.370000,16300
2021-06-15,3.400000,3.420000,3.400000,3.400000,3.400000,16700
2021-06-16,3.450000,3.450000,3.350000,3.350000,3.350000,13600
2021-06-17,3.390000,3.400000,3.350000,3.380000,3.380000,7700
2021-06-18,3.310000,3.320000,3.310000,3.310000,3.310000,5700
2021-06-21,3.330000,3.330000,3.240000,3.270000,3.270000,5800
2021-06-22,3.250000,3.350000,3.200000,3.260000,3.260000,2700
2021-06-23,3.300000,3.310000,3.260000,3.310000,3.310000,7500
2021-06-24,3.330000,3.330000,3.220000,3.240000,3.240000,15300
2021-06-25,3.350000,3.350000,3.290000,3.290000,3.290000,6200
2021-06-28,3.280000,3.280000,3.280000,3.280000,3.280000,6800
2021-06-29,3.250000,3.270000,3.240000,3.240000,3.240000,5300
2021-06-30,3.280000,3.280000,3.250000,3.250000,3.250000,300
2021-07-01,3.110000,3.280000,3.110000,3.230000,3.230000,3900
2021-07-02,3.250000,3.250000,3.250000,3.250000,3.250000,1400
2021-07-06,3.300000,3.320000,3.300000,3.320000,3.320000,800
2021-07-07,3.240000,3.290000,3.240000,3.260000,3.260000,8200
2021-07-08,3.310000,3.310000,3.260000,3.280000,3.280000,2600
2021-07-09,3.360000,3.360000,3.310000,3.310000,3.310000,600
2021-07-12,3.460000,3.460000,3.330000,3.330000,3.330000,8000
2021-07-13,3.500000,3.500000,3.360000,3.360000,3.360000,8800
2021-07-14,3.470000,3.470000,3.340000,3.350000,3.350000,39000
2021-07-15,3.380000,3.390000,3.350000,3.350000,3.350000,3700
2021-07-16,3.370000,3.370000,3.330000,3.330000,3.330000,600
2021-07-19,3.260000,3.260000,3.160000,3.190000,3.190000,2700
2021-07-20,3.180000,3.230000,3.170000,3.200000,3.200000,8600
2021-07-21,3.230000,3.260000,3.230000,3.260000,3.260000,1700
2021-07-22,3.220000,3.220000,3.220000,3.220000,3.220000,32700
2021-07-23,3.250000,3.250000,3.250000,3.250000,3.250000,7000
2021-07-26,3.330000,3.330000,3.240000,3.250000,3.250000,4400
2021-07-27,3.340000,3.340000,3.170000,3.230000,3.230000,3300
2021-07-28,3.160000,3.220000,3.160000,3.170000,3.170000,3300
2021-07-29,3.230000,3.230000,3.230000,3.230000,3.230000,600
2021-07-30,3.280000,3.280000,3.100000,3.100000,3.100000,4000
2021-08-02,3.270000,3.270000,3.240000,3.240000,3.240000,400
2021-08-03,3.240000,3.240000,3.180000,3.180000,3.180000,6800
2021-08-04,3.200000,3.250000,3.200000,3.250000,3.250000,800
2021-08-05,3.320000,3.320000,3.200000,3.200000,3.200000,2500
2021-08-06,3.340000,3.360000,3.340000,3.360000,3.360000,19600
2021-08-09,3.440000,3.440000,3.400000,3.400000,3.400000,2400
2021-08-10,3.340000,3.340000,3.240000,3.240000,3.240000,1100
2021-08-11,3.300000,3.310000,3.270000,3.270000,3.270000,4300
2021-08-12,3.260000,3.260000,3.210000,3.210000,3.210000,2500
2021-08-13,3.230000,3.240000,3.210000,3.220000,3.220000,3000
2021-08-16,3.220000,3.220000,3.130000,3.130000,3.130000,4300
2021-08-17,3.160000,3.160000,3.060000,3.060000,3.060000,16900
2021-08-18,3.010000,3.050000,3.010000,3.020000,3.020000,19700
2021-08-19,3.000000,3.000000,2.960000,2.970000,2.970000,8900
2021-08-20,2.960000,3.000000,2.960000,2.960000,2.960000,4000
2021-08-23,3.120000,3.120000,3.120000,3.120000,3.120000,400
2021-08-24,3.210000,3.210000,3.190000,3.200000,3.200000,5400
2021-08-25,3.290000,3.290000,3.250000,3.270000,3.270000,4800
